kanji,oc_family_first,oc_family_other,oc_family_last,oc_given_first,oc_given_other,oc_given_last,lc_family_1,lc_family_2,lc_family_3,lc_family_4,lc_given_1,lc_given_2,lc_given_3,lc_given_4
竹,392,0,66,12,0,1,0,452,6,0,0,12,1,0
笑,0,0,0,4,0,6,0,0,0,0,3,5,2,0
笠,71,29,10,0,0,0,2,79,29,0,0,0,0,0
笹,73,0,6,0,0,0,0,79,0,0,0,0,0,0
筒,22,0,2,0,0,0,0,24,0,0,0,0,0,0
箕,15,0,0,0,0,0,0,15,0,0,0,0,0,0
節,1,0,1,33,0,4,0,2,0,0,3,34,0,0
範,0,0,1,38,0,45,0,1,0,0,1,81,1,0
築,11,0,10,0,0,1,0,20,1,0,1,0,0,0
篠,108,0,3,0,0,0,2,109,0,0,0,0,0,0
篤,0,0,0,63,0,46,0,0,0,0,43,66,0,0
米,125,2,17,1,1,0,1,137,6,0,0,1,1,0
粟,18,0,0,0,0,0,0,17,1,0,0,0,0,0
精,0,0,0,24,0,0,0,0,0,0,0,22,2,0
糸,22,0,1,0,0,0,0,23,0,0,0,0,0,0
紀,5,0,0,165,213,542,2,3,0,0,2,605,313,0
納,7,0,30,0,0,1,1,36,0,0,0,1,0,0
純,0,0,0,233,0,74,0,0,0,0,50,253,4,0
紗,0,0,0,30,5,13,0,0,0,0,0,22,26,0
紘,0,0,0,36,0,12,0,0,0,0,2,44,2,0
素,1,0,0,23,0,0,0,1,0,0,0,23,0,0
紫,3,0,1,10,0,4,0,4,0,0,2,9,3,0
細,107,0,0,0,0,0,0,106,1,0,0,0,0,0
紳,0,0,0,9,0,3,0,0,0,0,3,5,4,0
紺,17,0,0,0,0,0,0,17,0,0,0,0,0,0
結,6,0,0,12,0,2,0,6,0,0,1,12,1,0
絢,0,0,0,15,0,2,0,0,0,0,2,15,0,0
統,0,0,0,3,0,9,0,0,0,0,4,8,0,0
絵,2,0,0,91,7,107,0,2,0,0,0,159,45,1
絹,5,0,0,11,0,0,0,5,0,0,0,11,0,0
継,0,0,1,2,0,7,0,1,0,0,1,8,0,0
綱,7,0,3,2,0,4,1,9,0,0,0,6,0,0
網,9,0,2,0,0,0,0,11,0,0,0,0,0,0
綾,7,0,0,102,1,31,2,5,0,0,29,102,2,1
綿,6,0,6,0,1,0,0,12,0,0,0,0,1,0
総,0,0,0,16,0,1,0,0,0,0,0,9,8,0
緑,6,0,0,4,0,11,0,6,0,0,10,4,1,0
緒,21,0,0,0,44,28,0,21,0,0,0,25,47,0
繁,12,0,5,25,0,21,0,17,0,0,19,26,1,0
織,20,0,6,10,0,181,0,26,0,0,0,190,1,0
置,3,0,18,0,0,0,0,21,0,0,0,0,0,0
羅,2,1,2,0,0,5,1,1,3,0,0,5,0,0
美,16,3,39,1453,531,2519,0,30,28,0,1,2969,1533,0
義,3,0,0,307,0,110,0,3,0,0,0,414,3,0
羽,57,1,53,2,0,1,0,104,7,0,0,2,1,0
翔,0,0,0,43,1,28,0,0,0,0,26,40,6,0
老,4,23,5,0,0,0,0,7,25,0,0,0,0,0
考,0,0,0,7,0,6,0,0,0,0,1,12,0,0
耕,0,0,0,95,0,4,0,0,0,0,4,83,12,0
耶,0,0,1,0,6,10,0,0,1,0,0,10,6,0
聖,0,0,0,109,0,18,0,0,0,0,10,116,1,0
聡,0,0,0,118,0,185,0,0,0,0,175,120,8,0
聰,0,0,0,7,0,9,0,0,0,0,7,9,0,0
肇,0,0,0,0,0,32,0,0,0,0,32,0,0,0
肥,9,0,6,0,0,0,0,14,1,0,0,0,0,0
育,0,0,0,63,0,4,0,0,0,0,0,66,1,0
能,28,0,13,13,1,5,0,40,1,0,1,16,2,0
脇,39,0,89,0,0,0,6,121,1,0,0,0,0,0
腰,0,0,11,0,0,0,0,10,1,0,0,0,0,0
臣,0,0,0,1,0,35,0,0,0,0,0,36,0,0
至,0,0,0,4,1,33,0,0,0,0,4,32,2,0
臼,30,0,0,0,0,0,0,30,0,0,0,0,0,0
與,10,1,0,2,0,0,0,2,9,0,0,0,2,0
興,3,0,0,14,0,11,0,3,0,0,1,20,4,0
舘,15,0,16,0,0,0,5,26,0,0,0,0,0,0
舛,9,0,1,0,0,0,0,10,0,0,0,0,0,0
舞,3,0,0,11,0,15,0,3,0,0,15,9,2,0
舟,14,0,1,1,0,2,0,15,0,0,0,3,0,0
舩,13,0,1,0,0,0,0,14,0,0,0,0,0,0
航,0,0,0,14,0,8,0,0,0,0,8,13,1,0
船,41,0,6,0,0,0,0,46,1,0,0,0,0,0
良,4,6,73,323,1,53,0,66,17,0,11,355,11,0
芝,18,0,7,0,0,0,5,20,0,0,0,0,0,0
芦,28,0,2,0,0,0,0,30,0,0,0,0,0,0
花,70,1,23,9,2,36,0,93,1,0,1,33,13,0
芳,23,0,1,146,0,28,0,23,1,0,6,168,0,0
芹,17,0,3,1,0,0,0,20,0,0,0,1,0,0
芽,0,0,0,7,1,2,0,0,0,0,1,6,3,0
苗,4,0,1,3,1,77,0,5,0,0,0,80,1,0
若,108,0,5,10,0,1,0,113,0,0,0,11,0,0
英,1,0,0,643,2,96,1,0,0,0,3,706,32,0
茂,34,3,12,118,3,87,1,45,3,0,68,135,5,0
茉,0,0,0,12,0,0,0,0,0,0,0,6,6,0
茜,0,0,0,0,0,21,0,0,0,0,21,0,0,0
