kanji,oc_family_first,oc_family_other,oc_family_last,oc_given_first,oc_given_other,oc_given_last,lc_family_1,lc_family_2,lc_family_3,lc_family_4,lc_given_1,lc_given_2,lc_given_3,lc_given_4
入,54,0,9,0,0,0,0,60,3,0,0,0,0,0
全,3,0,1,6,0,6,3,1,0,0,3,9,0,0
八,111,2,0,27,1,10,0,91,22,0,0,20,18,0
公,2,0,0,147,1,9,0,2,0,0,0,144,13,0
六,8,0,1,8,0,7,0,8,1,0,0,12,3,0
兵,16,0,1,2,1,4,1,16,0,0,0,5,2,0
具,4,0,0,6,0,0,1,2,1,0,0,6,0,0
典,0,0,0,151,0,191,0,0,0,0,0,341,1,0
兼,21,0,5,16,0,4,0,26,0,0,0,19,1,0
内,249,7,540,0,0,0,1,740,55,0,0,0,0,0
円,4,1,1,8,0,8,0,3,3,0,8,7,1,0
冨,97,0,17,8,0,0,0,111,3,0,0,1,7,0
出,47,3,97,0,11,5,0,141,6,0,5,0,11,0
刀,4,3,5,0,0,1,0,9,3,0,0,0,1,0
分,2,0,11,0,0,0,0,13,0,0,0,0,0,0
切,3,0,18,0,0,0,0,14,7,0,0,0,0,0
初,11,0,0,28,0,2,0,11,0,0,2,28,0,0
別,13,4,0,0,0,0,0,13,4,0,0,0,0,0
利,5,4,35,197,50,85,0,38,6,0,1,254,77,0
則,4,0,0,58,0,163,0,4,0,0,0,221,0,0
削,0,0,10,0,0,0,0,10,0,0,0,0,0,0
前,269,0,32,0,0,0,3,296,2,0,0,0,0,0
剛,0,0,0,98,0,163,0,0,0,0,148,113,0,0
副,6,1,4,0,0,0,0,10,1,0,0,0,0,0
創,0,0,0,5,0,14,0,0,0,0,14,5,0,0
力,5,0,5,9,0,30,0,9,1,0,28,11,0,0
功,2,0,1,46,0,52,0,3,0,0,42,50,6,0
加,411,2,4,100,42,54,0,387,29,1,0,73,123,0
助,1,0,1,0,0,40,0,2,0,0,0,22,18,0
努,0,0,0,0,0,27,0,0,0,0,27,0,0,0
勇,3,0,0,120,0,31,2,1,0,0,28,118,5,0
勉,0,0,0,0,0,43,0,0,0,0,43,0,0,0
務,0,0,3,0,0,8,0,3,0,0,7,1,0,0
勝,67,0,9,240,0,81,2,73,1,0,53,266,2,0
勢,3,6,13,2,0,1,0,15,7,0,0,1,2,0
勲,0,0,0,0,0,27,0,0,0,0,25,2,0,0
北,309,0,26,2,0,0,12,319,4,0,0,2,0,0
匠,0,2,3,4,0,12,0,3,2,0,12,4,0,0
匡,0,0,0,47,0,17,0,0,0,0,10,54,0,0
十,10,84,0,6,5,1,0,8,86,0,0,6,6,0
千,124,0,0,489,52,3,1,114,9,0,0,358,186,0
半,24,0,0,0,0,0,0,24,0,0,0,0,0,0
卓,0,0,0,134,0,45,0,0,0,0,44,134,1,0
南,126,1,18,4,4,4,58,86,1,0,3,4,5,0
博,0,0,0,382,0,292,0,0,0,0,58,614,2,0
厚,1,0,0,46,0,21,0,1,0,0,16,51,0,0
原,274,8,1365,2,0,0,101,1441,102,3,0,2,0,0
又,5,0,22,2,0,0,0,27,0,0,0,2,0,0
及,24,0,0,0,0,0,0,24,0,0,0,0,0,0
友,27,1,27,312,12,23,0,53,2,0,2,294,51,0
取,2,0,21,0,0,0,0,22,1,0,0,0,0,0
口,1,0,1003,0,0,0,0,984,20,0,0,0,0,0
古,319,6,25,1,0,8,0,325,24,1,0,0,9,0
可,6,0,0,12,2,2,0,6,0,0,0,9,7,0
史,0,0,0,122,8,691,0,0,0,0,4,805,12,0
右,4,1,0,5,1,9,0,4,1,0,0,13,1,1
司,4,0,48,9,0,807,1,50,1,0,33,781,2,0
合,13,2,111,0,25,37,0,123,3,0,0,9,53,0
吉,761,2,82,96,1,86,0,843,2,0,0,180,3,0
名,26,9,60,4,1,6,0,73,22,0,0,6,5,0
向,46,2,19,0,0,1,1,59,7,0,0,1,0,0
君,11,0,1,17,0,1,2,8,2,0,0,18,0,0
吹,6,1,19,0,0,1,0,25,1,0,0,1,0,0
吾,4,0,1,3,0,191,0,5,0,0,0,194,0,0
呂,1,5,14,0,7,2,1,13,6,0,0,0,9,0
周,7,0,0,40,0,14,1,6,0,0,10,43,1,0
味,3,0,13,0,0,2,0,16,0,0,0,2,0,0
和,159,26,30,979,57,360,0,168,47,0,10,1299,87,0
咲,0,0,2,19,3,24,0,2,0,0,2,39,5,0
品,17,0,7,0,0,0,0,23,1,0,0,0,0,0
哉,0,0,0,1,0,274,0,0,0,0,3,271,1,0
哲,0,0,0,336,0,64,0,0,0,0,55,341,4,0
唐,22,0,1,0,0,0,0,23,0,0,0,0,0,0
唯,1,0,0,8,2,7,0,1,0,0,5,9,3,0
啓,0,0,0,207,0,57,0,0,0,0,35,214,15,0
善,8,1,5,110,0,10,1,12,1,0,1,115,4,0
喜,32,4,4,107,24,75,0,27,13,0,0,135,71,0
喬,0,0,0,9,0,8,0,0,0,0,8,9,0,0
嗣,0,0,0,4,0,95,0,0,0,0,0,98,1,0
嘉,13,3,11,97,5,24,0,23,4,0,1,114,11,0
四,25,0,0,11,14,1,0,21,4,0,0,11,15,0
国,21,0,7,23,0,7,0,28,0,0,0,29,1,0
國,48,0,17,10,0,0,0,63,2,0,0,10,0,0
園,28,2,41,11,0,1,0,61,9,1,1,11,0,0
土,205,5,14,0,0,2,0,215,9,0,0,2,0,0
圭,0,0,0,186,1,20,0,0,0,0,18,175,14,0
地,15,5,177,1,1,19,0,180,17,0,0,20,1,0
坂,338,1,202,0,0,0,6,529,6,0,0,0,0,0
均,0,0,0,3,0,33,0,0,0,0,33,3,0,0
坪,36,0,24,0,0,0,0,60,0,0,0,0,0,0
垣,19,5,115,0,0,0,0,128,11,0,0,0,0,0
城,54,2,125,1,0,17,6,171,4,0,0,18,0,0
埜,1,0,9,0,0,0,0,10,0,0,0,0,0,0
基,0,0,0,54,1,49,0,0,0,0,7,94,3,0
堀,254,0,48,0,0,0,47,248,7,0,0,0,0,0
堂,14,1,16,1,0,1,1,22,8,0,0,2,0,0
堅,5,0,3,13,0,2,0,6,2,0,1,10,4,0
堤,34,0,1,0,0,1,33,2,0,0,1,0,0,0
場,1,2,139,0,0,0,0,137,5,0,0,0,0,0
堺,13,0,0,0,0,0,9,4,0,0,0,0,0,0
塚,73,0,270,0,0,0,0,335,8,0,0,0,0,0
塩,117,0,6,0,0,0,1,119,3,0,0,0,0,0
境,9,0,2,0,0,0,6,5,0,0,0,0,0,0
増,118,0,2,4,0,0,0,120,0,0,0,4,0,0
壁,3,0,14,0,0,0,0,17,0,0,0,0,0,0
士,0,5,7,3,17,144,0,7,5,0,0,144,20,0
壮,0,0,0,32,0,10,0,0,0,0,7,31,4,0
壽,1,0,3,17,1,3,0,3,1,0,0,18,3,0
夏,22,0,1,42,3,33,1,22,0,0,0,72,6,0
夕,0,0,0,18,2,1,0,0,0,0,0,16,5,0
外,30,0,0,0,0,4,0,27,3,0,0,4,0,0
多,74,22,53,55,4,8,0,108,41,0,0,29,38,0
夢,0,0,0,4,1,7,0,0,0,0,0,10,2,0
大,1468,3,1,441,1,154,0,1347,125,0,45,535,16,0
天,63,1,3,3,0,2,0,66,1,0,1,4,0,0
太,156,0,3,130,412,357,0,151,8,0,7,475,416,1
夫,0,0,0,0,0,635,0,0,0,0,0,604,31,0
央,0,0,0,13,10,81,0,0,0,0,11,82,11,0
奈,26,2,9,226,179,160,0,26,11,0,0,225,339,1
奥,212,0,6,0,1,0,8,209,1,0,0,0,1,0
好,2,0,33,78,1,21,0,35,0,0,3,96,1,0
妃,0,0,0,9,3,4,0,0,0,0,0,6,10,0
妙,0,0,0,38,0,7,0,0,0,0,5,40,0,0
妹,11,0,0,0,0,0,0,11,0,0,0,0,0,0
妻,3,0,25,0,0,0,0,28,0,0,0,0,0,0
姫,9,0,0,0,2,5,0,9,0,0,0,5,2,0
威,0,0,0,10,0,12,0,0,0,0,5,14,3,0
子,5,12,173,1,1,7738,0,169,21,0,0,5037,2703,0
孝,0,0,0,354,0,223,0,0,0,0,51,517,9,0
季,0,0,0,15,11,28,0,0,0,0,0,39,15,0
学,0,0,0,12,0,99,0,0,0,0,97,14,0,0
孫,2,6,1,4,0,0,1,2,6,0,0,4,0,0
宅,6,0,54,0,0,0,0,60,0,0,0,0,0,0
宇,112,3,1,4,0,0,0,67,49,0,0,3,1,0
守,28,1,17,30,0,27,1,43,2,0,25,32,0,0
安,421,2,46,58,0,3,2,452,15,0,1,51,9,0
宍,11,0,0,0,0,0,0,11,0,0,0,0,0,0
宏,0,0,0,295,0,442,0,0,0,0,73,657,7,0
宗,32,4,12,87,0,5,4,40,3,1,1,82,9,0
定,11,0,4,15,0,5,0,15,0,0,2,17,1,0
宜,0,0,0,19,0,10,0,0,0,0,0,29,0,0
実,3,0,3,34,12,174,0,6,0,0,55,137,28,0
宣,0,0,0,38,0,33,0,0,0,0,0,70,1,0
室,41,0,34,0,0,0,1,74,0,0,0,0,0,0
宮,586,12,135,2,0,0,2,700,31,0,0,2,0,0
家,14,2,58,3,0,0,0,72,2,0,0,3,0,0
容,0,0,0,34,0,8,0,0,0,0,2,40,0,0
寄,2,0,10,0,0,0,0,12,0,0,0,0,0,0
富,104,1,36,70,1,5,0,134,7,0,1,44,31,0
寛,0,0,0,126,0,112,0,0,0,0,63,174,1,0
實,6,0,4,0,0,3,0,10,0,0,2,1,0,0
寧,0,0,0,4,0,9,0,0,0,0,8,5,0,0
寺,176,0,67,0,0,0,0,200,43,0,0,0,0,0
寿,1,0,0,104,30,43,0,1,0,0,12,128,37,0
将,0,0,0,121,0,39,0,0,0,0,13,146,1,0
將,0,0,0,7,0,6,0,0,0,0,4,8,1,0
尊,1,0,0,9,0,2,0,1,0,0,1,10,0,0
尋,0,0,1,6,0,31,0,1,0,0,1,36,0,0
小,1916,4,0,46,1,0,0,1658,261,1,0,9,38,0
尚,1,0,0,269,0,60,0,1,0,0,23,302,4,0
尻,0,0,37,0,0,0,0,37,0,0,0,0,0,0
尾,166,1,440,0,1,0,0,597,10,0,0,0,1,0
居,4,1,59,0,0,2,0,62,2,0,0,2,0,0
屋,10,11,185,0,0,0,0,184,22,0,0,0,0,0
展,0,0,0,20,0,15,0,0,0,0,1,34,0,0
山,1845,20,1631,0,0,1,1,3436,59,0,0,1,0,0
岐,2,0,11,0,1,6,0,13,0,0,0,6,1,0
岡,525,1,647,0,0,1,35,1131,7,0,0,1,0,0
岩,480,3,34,8,0,0,0,511,6,0,0,7,1,0
岳,0,0,2,45,0,7,0,2,0,0,4,48,0,0
岸,96,0,86,2,0,0,17,165,0,0,0,2,0,0
峯,25,0,15,0,0,1,5,35,0,0,0,1,0,0
峰,11,0,14,17,0,7,2,23,0,0,0,23,1,0
島,163,2,891,0,0,0,19,1019,18,0,0,0,0,0
崇,0,0,0,88,0,73,0,0,0,0,59,102,0,0
崎,10,1,889,0,0,0,0,876,24,0,0,0,0,0
嵐,0,0,71,0,0,0,0,0,71,0,0,0,0,0
嵜,0,0,23,0,0,0,0,23,0,0,0,0,0,0
嶋,61,0,252,0,0,0,4,308,1,0,0,0,0,0
嶌,1,0,9,0,0,0,0,10,0,0,0,0,0,0
嶺,2,0,14,4,0,0,0,13,3,0,0,3,1,0
巌,1,0,0,0,0,16,0,1,0,0,16,0,0,0
川,596,8,1987,0,0,2,0,2361,229,1,0,2,0,0
工,77,3,1,0,0,5,0,78,3,0,5,0,0,0
左,2,1,0,6,8,1,0,2,1,0,0,3,11,1
巧,0,0,0,0,0,11,0,0,0,0,10,1,0,0
己,0,0,4,2,8,103,0,4,0,0,0,103,10,0
巳,0,0,6,5,3,55,0,6,0,0,0,55,8,0
巻,3,0,33,1,0,2,1,35,0,0,0,3,0,0
市,143,0,23,7,0,21,0,164,2,0,0,26,2,0
布,20,1,3,5,4,2,0,19,5,0,0,4,7,0
帆,2,0,0,0,6,32,0,2,0,0,0,32,6,0
希,0,0,0,30,113,168,0,0,0,0,20,162,129,0
師,1,0,8,3,0,2,0,9,0,0,0,5,0,0
常,14,0,0,19,0,2,0,14,0,0,0,21,0,0
幡,3,0,32,0,0,0,0,35,0,0,0,0,0,0
平,510,2,98,8,2,411,8,596,6,0,2,416,3,0
年,0,0,2,11,1,17,0,2,0,0,0,26,3,0
幸,21,0,2,550,0,464,2,20,1,0,25,967,22,0
幹,0,0,0,70,0,10,0,0,0,0,4,76,0,0
幾,2,0,0,11,0,1,0,2,0,0,0,9,3,0
広,47,0,8,138,0,137,0,55,0,0,8,264,3,0
庄,41,1,14,10,0,0,1,54,0,1,0,9,1,0
府,5,2,11,0,0,1,0,12,6,0,1,0,0,0
座,3,2,6,0,0,1,0,9,2,0,0,0,1,0
庭,3,0,34,0,0,0,0,37,0,0,0,0,0,0
康,2,0,0,506,0,93,1,1,0,0,24,562,13,0
庸,0,0,0,28,0,3,0,0,0,0,2,29,0,0
廉,0,0,0,7,0,5,0,0,0,0,5,4,3,0
廣,136,0,16,20,0,14,1,151,0,0,0,34,0,0
延,7,0,2,19,0,14,0,9,0,0,0,32,1,0
建,4,0,0,19,0,11,0,4,0,0,11,16,3,0
弓,15,0,1,14,3,91,0,16,0,0,1,101,6,0
引,6,0,6,0,0,0,0,12,0,0,0,0,0,0
弘,12,0,3,370,0,510,1,14,0,0,26,848,6,0
弥,3,0,0,52,23,95,0,3,0,0,3,141,26,0
張,16,0,4,0,0,1,8,10,2,0,0,1,0,0
強,1,0,0,6,0,4,0,1,0,0,4,6,0,0
彌,3,0,0,2,0,9,0,3,0,0,1,10,0,0
形,2,0,37,0,0,0,0,39,0,0,0,0,0,0
彦,3,0,3,3,0,960,0,6,0,0,1,953,9,0
彩,0,0,0,64,0,27,0,0,0,0,23,68,0,0
彬,0,0,0,2,0,10,0,0,0,0,2,10,0,0
彰,0,0,0,79,0,69,0,0,0,0,38,108,2,0
影,9,0,2,0,0,1,0,11,0,0,0,1,0,0
征,1,0,0,33,0,7,0,1,0,0,0,39,1,0
律,0,0,0,32,3,2,0,0,0,0,2,32,3,0
後,155,1,16,0,0,0,0,169,3,0,0,0,0,0
得,5,0,0,4,0,2,1,4,0,0,0,4,2,0
御,18,0,0,0,0,0,0,8,10,0,0,0,0,0
徳,85,0,10,66,1,135,0,95,0,0,1,193,8,0
德,18,0,2,2,0,0,0,20,0,0,0,2,0,0
徹,0,1,0,48,0,159,0,0,1,0,158,48,1,0
忍,3,0,0,1,0,55,0,3,0,0,55,1,0,0
志,58,8,11,130,29,517,0,64,13,0,0,606,70,0
忠,0,0,0,143,0,28,0,0,0,0,17,149,5,0
怜,0,0,0,12,0,6,0,0,0,0,5,13,0,0
恒,8,0,1,55,0,15,0,9,0,0,9,58,3,0
恭,0,0,0,175,0,14,0,0,0,0,5,180,4,0
恵,4,0,0,442,139,654,0,3,1,0,108,818,309,0
悟,0,1,0,12,0,86,0,0,1,0,42,55,1,0
悠,0,0,0,67,0,23,0,0,0,0,21,62,7,0
悦,0,1,0,105,0,3,0,0,1,0,0,107,1,0
惠,0,0,0,30,8,37,0,0,0,0,6,52,17,0
愛,3,0,0,84,1,83,0,3,0,0,72,90,6,0
愼,1,0,0,11,0,1,1,0,0,0,1,8,3,0
慎,0,0,0,174,0,12,0,0,0,0,12,117,57,0
慶,5,2,1,111,0,21,1,5,2,0,12,110,10,0
憲,0,0,0,164,0,83,0,0,0,0,12,219,16,0
成,78,2,30,98,0,131,1,107,2,0,2,225,2,0
我,7,8,18,0,0,2,0,25,6,2,0,2,0,0
戸,89,21,131,0,0,0,0,212,29,0,0,0,0,0
房,2,0,6,14,0,3,1,7,0,0,0,17,0,0
所,5,0,22,0,0,0,4,23,0,0,0,0,0,0
手,35,10,30,0,0,0,0,63,12,0,0,0,0,0
才,6,0,1,4,1,0,0,7,0,0,0,4,1,0
折,22,0,2,0,0,0,0,24,0,0,0,0,0,0
押,16,0,2,0,0,0,1,16,1,0,0,0,0,0
拓,0,0,0,132,0,30,0,0,0,0,27,135,0,0
持,18,0,15,0,0,1,0,33,0,0,0,1,0,0
掛,10,0,9,0,0,0,0,18,1,0,0,0,0,0
摩,3,0,3,8,0,2,0,6,0,0,0,9,1,0
操,0,0,0,2,0,10,0,0,0,0,10,2,0,0
政,6,0,11,141,0,25,0,17,0,0,2,163,1,0
敏,0,0,0,224,0,87,0,0,0,0,24,287,0,0
教,0,0,0,21,0,15,0,0,0,0,0,36,0,0
敦,1,0,0,144,0,61,0,1,0,0,59,146,0,0
敬,0,0,2,148,0,57,0,2,0,0,27,174,4,0
数,3,0,5,2,0,0,0,8,0,0,0,2,0,0
敷,3,0,13,0,0,0,0,12,4,0,0,0,0,0
文,11,3,2,221,0,214,1,12,3,0,8,421,6,0
斉,89,0,0,6,0,7,0,89,0,0,6,7,0,0
斎,63,0,0,0,0,1,1,62,0,0,1,0,0,0
斐,0,2,30,0,0,0,0,29,3,0,0,0,0,0
斗,0,2,0,3,3,12,0,0,2,0,0,12,6,0
新,290,0,1,39,0,19,5,277,9,0,18,29,11,0
方,4,2,72,8,0,3,0,74,4,0,0,10,1,0
施,2,2,9,0,0,2,2,8,3,0,0,2,0,0
日,131,9,14,23,19,1,0,115,39,0,0,6,37,0
早,80,1,2,88,0,4,0,78,5,0,0,73,19,0
昇,1,0,0,24,0,37,1,0,0,0,36,22,3,0
昌,1,0,0,373,0,32,0,1,0,0,5,398,2,0
明,25,1,8,392,0,663,0,32,2,0,66,967,22,0
星,102,0,10,2,0,5,29,82,1,0,1,6,0,0
映,0,0,0,20,5,5,0,0,0,0,2,20,8,0
春,48,0,4,78,0,78,0,50,2,0,0,155,1,0
昭,0,0,0,163,0,209,0,0,0,0,14,356,2,0
是,10,1,0,3,1,2,0,10,1,0,1,4,1,0
時,14,0,8,13,0,5,0,21,1,0,0,17,1,0
晃,0,0,0,142,0,114,0,0,0,0,57,193,6,0
晋,0,0,0,62,0,32,0,0,0,0,30,53,11,0
景,4,0,1,41,0,11,0,5,0,0,1,50,1,0
晴,0,0,0,109,0,90,0,0,0,0,3,195,1,0
晶,1,0,0,69,0,41,1,0,0,0,10,99,1,0
智,1,1,24,785,109,89,0,25,1,0,56,752,175,0
暁,0,0,0,29,0,29,0,0,0,0,12,46,0,0
暢,0,0,0,19,0,11,0,0,0,0,5,25,0,0
暮,1,0,12,0,0,0,0,13,0,0,0,0,0,0
曽,42,7,12,0,0,0,3,42,15,1,0,0,0,0
月,19,0,84,2,0,32,0,100,3,0,0,34,0,0
有,106,0,0,181,7,17,0,106,0,0,10,144,51,0
朋,0,0,0,133,0,10,0,0,0,0,4,139,0,0
服,70,0,0,0,0,0,0,70,0,0,0,0,0,0
朗,0,0,0,10,0,235,0,0,0,0,16,165,64,0
望,50,0,0,7,0,35,0,50,0,0,28,14,0,0
朝,42,0,1,43,0,0,1,38,4,0,0,42,1,0
木,506,26,1712,2,3,4,0,1919,323,2,0,5,4,0
未,0,0,0,50,4,25,0,0,0,0,0,65,14,0
末,50,0,13,3,0,0,0,63,0,0,0,3,0,0
本,208,4,2236,0,0,0,3,2426,19,0,0,0,0,0
朱,2,0,0,23,1,2,1,0,1,0,2,23,1,0
杉,344,0,43,2,0,0,7,379,1,0,0,2,0,0
李,14,0,0,3,1,1,14,0,0,0,0,3,2,0
杏,1,0,0,9,0,1,1,0,0,0,0,9,1,0
村,448,2,2067,1,0,2,0,2492,24,1,0,3,0,0
条,0,0,12,0,0,0,0,12,0,0,0,0,0,0
来,3,0,12,0,3,21,0,14,1,0,1,20,3,0
東,144,0,80,11,0,4,58,160,6,0,2,9,4,0
松,1121,13,292,13,0,3,0,1409,17,0,0,11,5,0
板,55,2,4,0,0,0,0,58,3,0,0,0,0,0
林,271,0,584,4,0,2,248,600,7,0,0,3,3,0
果,0,0,0,4,1,8,0,0,0,0,1,10,2,0
枝,8,0,46,9,19,230,0,54,0,0,0,198,60,0
柏,70,0,0,1,0,0,5,64,1,0,0,1,0,0
染,25,0,0,0,0,1,0,25,0,0,0,1,0,0
柳,101,1,70,2,0,0,11,158,3,0,0,2,0,0
柴,143,0,13,1,0,0,6,146,4,0,0,0,1,0
柿,33,0,1,0,0,0,0,33,1,0,0,0,0,0
栁,4,0,9,0,0,0,0,13,0,0,0,0,0,0
栄,4,0,3,138,13,52,2,5,0,0,16,150,37,0
栗,129,0,22,0,0,1,0,147,4,0,0,0,1,0
根,65,9,152,1,2,4,0,197,29,0,1,4,2,0
格,0,0,0,2,0,12,0,0,0,0,9,5,0,0
桂,14,0,0,53,1,11,7,7,0,0,11,50,4,0
桃,7,2,0,18,0,1,0,7,2,0,1,17,1,0
桐,28,0,25,3,0,0,1,47,5,0,0,3,0,0
桑,66,0,5,0,0,0,0,69,2,0,0,0,0,0
桜,27,0,0,3,3,5,0,27,0,0,3,5,3,0
桝,11,0,0,0,0,0,1,10,0,0,0,0,0,0
梅,122,0,2,3,0,0,0,124,0,0,0,2,1,0
梓,0,0,0,0,0,10,0,0,0,0,10,0,0,0
條,0,0,56,0,0,0,0,56,0,0,0,0,0,0
梢,0,0,1,1,0,10,0,1,0,0,10,1,0,0
梨,1,0,16,35,19,20,0,17,0,0,0,46,28,0
梶,64,0,4,0,0,0,6,60,2,0,0,0,0,0
棚,17,1,0,0,0,0,0,17,1,0,0,0,0,0
森,638,3,199,1,0,3,200,631,9,0,2,2,0,0
植,124,0,10,0,0,0,1,133,0,0,0,0,0,0
椎,21,0,0,0,0,0,0,21,0,0,0,0,0,0
楠,29,0,2,3,0,1,7,24,0,0,1,2,1,0
楽,0,1,8,1,1,1,0,8,1,0,0,2,0,1
榊,22,0,0,0,0,0,4,18,0,0,0,0,0,0
榎,43,0,0,0,0,0,4,39,0,0,0,0,0,0
榮,7,0,1,5,0,2,2,6,0,0,0,7,0,0
槙,5,0,0,6,0,1,0,5,0,0,1,5,1,0
槻,2,0,18,0,0,0,0,20,0,0,0,0,0,0
樋,67,0,0,0,0,0,0,67,0,0,0,0,0,0
権,9,0,0,0,0,1,0,9,0,0,1,0,0,0
横,270,0,0,1,0,0,0,265,5,0,0,0,0,1
樫,15,0,17,0,0,0,0,29,3,0,0,0,0,0
樹,3,0,4,16,23,920,0,7,0,0,4,928,27,0
橋,233,1,814,0,0,0,0,1040,8,0,0,0,0,0
橘,23,0,0,1,0,0,15,8,0,0,0,1,0,0
檜,14,0,0,0,0,0,0,14,0,0,0,0,0,0
櫻,81,0,0,0,0,2,0,81,0,0,2,0,0,0
次,1,1,23,21,48,129,0,23,2,0,0,149,48,1
欣,0,0,0,17,0,3,0,0,0,0,0,19,1,0
歌,3,0,0,1,7,6,0,3,0,0,0,6,8,0
正,32,0,6,837,0,138,0,38,0,0,33,933,9,0
武,205,1,42,146,1,73,3,242,2,1,49,167,4,0
歩,0,0,1,14,2,42,0,0,1,0,31,25,2,0
殿,9,0,4,0,0,0,0,13,0,0,0,0,0,0
毅,0,0,0,13,0,111,0,0,0,0,72,51,1,0
比,22,25,5,17,10,0,0,16,36,0,0,0,27,0
毛,20,1,17,0,0,0,1,35,2,0,0,0,0,0
民,1,0,0,9,0,7,0,0,1,0,1,15,0,0
水,248,7,256,4,0,12,0,493,18,0,0,15,1,0
永,274,1,280,13,1,11,0,554,1,0,0,20,5,0
江,176,4,192,36,20,250,0,349,23,0,0,202,104,0
池,303,0,176,0,0,0,2,472,5,0,0,0,0,0
沖,29,0,3,0,0,0,6,26,0,0,0,0,0,0
沙,0,0,0,65,21,28,0,0,0,0,0,67,47,0
沢,21,0,243,0,0,0,1,249,14,0,0,0,0,0
河,341,24,29,1,1,2,0,365,27,2,0,2,2,0
治,2,10,22,72,13,622,0,21,13,0,30,660,17,0
沼,34,0,127,0,0,0,2,155,4,0,0,0,0,0
泉,42,1,93,4,1,49,23,112,1,0,45,8,1,0
法,9,1,2,23,0,11,0,8,4,0,0,34,0,0
波,24,9,76,1,0,8,0,80,28,1,0,8,1,0
泰,0,0,0,350,0,57,0,0,0,0,20,381,6,0
洋,0,0,0,424,2,197,0,0,0,0,75,521,27,0
津,80,15,171,4,142,7,0,227,39,0,0,8,145,0
浅,185,0,20,0,0,0,0,205,0,0,0,0,0,0
浜,68,0,15,0,0,0,5,78,0,0,0,0,0,0
浦,61,0,258,0,0,1,6,313,0,0,0,1,0,0
浩,0,0,0,640,0,300,0,0,0,0,95,808,37,0
浪,9,0,12,0,0,2,0,21,0,0,0,2,0,0
海,64,4,49,10,1,34,0,89,28,0,3,40,2,0
涼,0,0,0,29,0,4,0,0,0,0,4,29,0,0
淑,0,0,0,21,0,5,0,0,0,0,2,24,0,0
深,111,1,1,11,0,2,0,112,1,0,1,12,0,0
淳,0,0,0,221,0,163,0,0,0,0,158,209,17,0
淵,3,0,20,0,0,0,0,23,0,0,0,0,0,0
淺,16,0,2,0,0,0,0,18,0,0,0,0,0,0
添,5,0,28,0,0,0,0,33,0,0,0,0,0,0
清,268,3,5,193,0,38,3,267,6,0,31,192,7,1
渉,0,0,0,5,0,27,0,0,0,0,27,4,1,0
渋,24,0,0,0,0,0,0,24,0,0,0,0,0,0
渕,7,0,62,0,0,0,1,68,0,0,0,0,0,0
渚,1,0,0,1,1,8,1,0,0,0,8,1,1,0
渡,507,2,34,0,0,1,1,532,10,0,1,0,0,0
温,4,0,0,12,1,5,0,3,1,0,5,12,1,0
湖,1,0,5,3,0,5,0,6,0,0,2,4,2,0
湯,58,0,2,0,0,0,0,56,4,0,0,0,0,0
満,11,0,14,37,1,37,0,25,0,0,25,34,16,0
源,11,0,0,12,0,3,5,6,0,0,1,9,5,0
準,0,0,0,12,0,7,0,0,0,0,7,10,2,0
溝,47,0,14,0,0,0,0,59,2,0,0,0,0,0
